Timestamp,1. Độ tuổi của bạn?,2. Giới tính:,3. Bạn hiện đang học tập hay làm việc trong lĩnh vực nào?,"4. Tần suất bạn sử dụng ChatGPT là bao nhiêu?
Từ câu hỏi này trở đi, vui lòng chọn các đáp án theo hiểu biết rằng bạn đã nghe tới ChatGPT (có thể từ chính khảo sát này).",1. Bạn đã nghe đến ChatGPT từ đâu?,"2. Trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên công việc/học tập của bạn là bao nhiêu?",3. Bạn đã/sẽ sử dụng Chat GPT trong tình huống/công việc nào dưới đây? (Vui lòng chọn tối đa 4 ô),"5. Trên thang điểm 5, bạn sẵn sàng giới thiệu ChatGPT cho người khác là bao nhiêu?",,"2. Theo bạn, ChatGPT có khả năng gây ra các vấn đề liên quan đến quyền riêng tư và an ninh thông tin cho cá nhân bạn không?","3.  Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc tổ chức những chương trình/workshop hướng dẫn bạn sử dụng ChatGPT trong học tập/công việc là bao nhiêu?","4. Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên điểm số/chất lượng bài tập của bạn như thế nào? 

(VD: Điểm số/Chất lượng bài tập khi dùng ChatGPT có thể sẽ cao hơn điểm số/chất lượng bài tập khi không dùng ChatGPT)","5. Giả sử bạn là học sinh, trên thang điểm 5, bạn đánh giá việc sử dụng ChatGPT sẽ ảnh hưởng thế nào tới sự chênh lệch điểm số/năng lực giữa các học sinh với nhau? 

(VD: Học sinh sử dụng ChatGPT sẽ có điểm số cao hơn, được đánh giá giỏi hơn những học sinh không sử dụng)","1. ChatGPT đã bị cấm tại một số quốc gia bởi đội ngũ phát triển hoặc Chính phủ như Ý, Nga và Triều Tiên. 

Bạn đánh giá thế nào việc cho phép học sinh/sinh viên Việt Nam sử dụng ChatGPT trong học tập?","2. Trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc cung cấp thông tin về ứng dụng ChatGPT cho công chúng và các lưu ý liên quan từ cơ quan Chính phủ là bao nhiêu?

(VD: Bài viết giới thiệu/hướng dẫn qua các kênh như Thông tin Chính phủ, VTV24 hoặc các báo đài tương tự)","3. Trên thang điểm 5, bạn đánh giá sự cần thiết của những Quy định cụ thể do Bộ Giáo dục & Đào tạo ban hành để đảm bảo rằng ChatGPT không bị lạm dụng hoặc sử dụng sai mục đích trong trường học ở Việt Nam là bao nhiêu?","4. Một số trường trung học phổ thông, cao đẳng, đại học và sau đại học trên thế giới đã sử dụng công nghệ (VD: mô hình trí tuệ nhân tạo ZeroGPT) để phát hiện việc sử dụng ChatGPT trong bài kiểm tra và bài tập. 

Trên thang điểm 5, bạn đánh giá sự cần thiết của việc áp dụng hình thức tương tự tại Việt Nam là bao nhiêu?","Anh/chị/bạn có nhận xét, đánh giá gì khác về khảo sát muốn chia sẻ với nhóm nghiên cứu không?"
04/05/2023 11:16:31,Từ 18 đến 25 tuổi,Nam,"Giải trí và Nghệ thuật (Diễn viên, thời trang, đạo diễn,...)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức",5,4,Cần tìm hiểu thêm,4,4,4,4,4,4,4,
04/05/2023 14:17:53,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",4,Khác,3,3,Cần tìm hiểu thêm,3,3,3,3,5,5,3,
05/05/2023 21:23:11,Từ 26 đến 35 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",5,"Truy cập và tìm kiếm thông tin, kiến thức, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập, Khác",5,5,Cần tìm hiểu thêm,5,5,5,5,5,5,5,
05/05/2023 22:24:51,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè), Khác",3,3,Cần tìm hiểu thêm,2,4,4,2,3,5,5,
05/05/2023 22:25:03,Từ 18 đến 25 tuổi,Nam,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,3,Cần tìm hiểu thêm,3,1,3,3,5,5,3,
06/05/2023 00:07:41,Từ 18 đến 25 tuổi,Nữ,Công nghệ Thông tin/Khoa học Máy tính,Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,4,Cần tìm hiểu thêm,4,3,2,5,5,5,5,
06/05/2023 00:12:48,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập",5,3,Cần tìm hiểu thêm,2,3,4,4,3,5,5,
06/05/2023 08:33:20,Từ 36 đến 49 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Tôi không còn sử dụng ChatGPT nữa,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",3,4,Có,1,1,1,1,1,5,4,
06/05/2023 09:23:21,Từ 18 đến 25 tuổi,Nữ,Công nghệ Thông tin/Khoa học Máy tính,Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",3,2,Có,1,2,4,3,4,4,3,
06/05/2023 13:32:45,Từ 18 đến 25 tuổi,Nữ,Công nghệ Thông tin/Khoa học Máy tính,Hằng tuần,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Giải trí, thư giãn (một mình, hoặc cùng bạn bè), Khác",2,2,Có,1,2,3,4,1,5,5,mình không hiểu vì sao lại có option là dùng chatgpt để kết nối với người khác...
06/05/2023 14:28:24,Từ 18 đến 25 tuổi,Nữ,"Giải trí và Nghệ thuật (Diễn viên, thời trang, đạo diễn,...)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",2,"Truy cập và tìm kiếm thông tin, kiến thức",3,3,Cần tìm hiểu thêm,4,4,4,3,3,4,5,
06/05/2023 15:19:08,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",5,2,Cần tìm hiểu thêm,2,2,4,4,4,5,5,
06/05/2023 15:31:59,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng tháng,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",3,3,Có,3,4,4,4,3,5,3,
06/05/2023 16:29:14,Từ 18 đến 25 tuổi,Nam,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",2,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",2,3,Cần tìm hiểu thêm,3,3,4,3,4,4,5,
06/05/2023 21:10:11,Từ 26 đến 35 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",3,Khác,4,3,Có,3,4,4,3,3,4,3,
06/05/2023 22:44:08,Từ 18 đến 25 tuổi,Nam,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,4,Cần tìm hiểu thêm,4,5,5,3,4,5,5,
06/05/2023 23:05:37,Từ 18 đến 25 tuổi,Không tiện chia sẻ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,2,Cần tìm hiểu thêm,3,4,5,4,4,5,5,
07/05/2023 07:41:00,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,2,Có,5,1,3,4,5,5,5,
07/05/2023 09:36:20,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu",2,2,Có,4,2,4,2,5,5,5,
07/05/2023 13:03:52,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",4,2,Có,4,4,4,4,4,4,2,
07/05/2023 19:53:01,Từ 18 đến 25 tuổi,Nam,"Báo chí, Thông tin & Truyền thông",Hằng tuần,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu",4,3,Cần tìm hiểu thêm,2,3,3,3,5,4,4,
08/05/2023 11:52:19,Từ 18 đến 25 tuổi,Nữ,Công nghệ Thông tin/Khoa học Máy tính,Tôi không còn sử dụng ChatGPT nữa,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức",3,3,Không,2,1,4,3,3,3,4,
08/05/2023 14:01:18,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng ngày,"Mạng xã hội (Facebook, Youtube, v.v.)",5,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",5,3,Có,2,5,4,5,3,3,4,
08/05/2023 19:43:52,Từ 18 đến 25 tuổi,Nữ,Tự do/Khác,Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập",5,4,Không,4,4,3,5,4,5,5,
09/05/2023 09:09:22,Từ 18 đến 25 tuổi,Nam,Tự do/Khác,Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",5,3,Có,5,4,3,4,5,5,5,
09/05/2023 09:14:49,Từ 18 đến 25 tuổi,Không tiện chia sẻ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập",4,3,Cần tìm hiểu thêm,4,2,3,3,3,4,5,
09/05/2023 09:29:18,Từ 36 đến 49 tuổi,Nữ,Chính trị,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải trí, thư giãn (một mình, hoặc cùng bạn bè), Khác",1,2,Cần tìm hiểu thêm,3,1,1,1,5,5,5,không
09/05/2023 09:36:21,Trên 50 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",1,Khác,1,1,Có,1,1,1,1,1,1,1,
09/05/2023 09:52:01,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,3,Có,3,3,4,3,4,5,4,
09/05/2023 10:15:34,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Cần tìm hiểu thêm,3,3,3,3,3,3,3,
09/05/2023 10:16:01,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",1,1,Cần tìm hiểu thêm,3,3,3,3,3,3,3,không
09/05/2023 10:23:54,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tháng,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",3,"Truy cập và tìm kiếm thông tin, kiến thức, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,4,Cần tìm hiểu thêm,5,4,4,3,4,5,5,Không
09/05/2023 10:25:27,Từ 36 đến 49 tuổi,Nữ,Chính trị,Hằng tháng,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",1,"Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",3,3,Cần tìm hiểu thêm,3,4,4,2,3,4,4,
09/05/2023 10:25:32,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tháng,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",4,"Truy cập và tìm kiếm thông tin, kiến thức, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Cần tìm hiểu thêm,5,5,5,4,5,5,5,
09/05/2023 10:34:58,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tháng,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức",1,1,Cần tìm hiểu thêm,2,2,2,3,3,4,3,Không
09/05/2023 10:43:01,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Hằng tuần,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",4,3,Có,3,4,4,3,4,3,4,
09/05/2023 11:10:20,Trên 50 tuổi,Nam,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức",3,3,Cần tìm hiểu thêm,5,5,5,5,5,5,5,Tôi rất mong ứng dụng ChatGPT sớm được ứng dụng trong các lĩnh vực cuộc sống. Cảm ơn nhóm nghiên cứu.
09/05/2023 11:18:53,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",1,"Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",2,2,Có,1,2,2,1,2,1,1,
09/05/2023 13:51:33,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",4,4,Cần tìm hiểu thêm,4,3,3,3,4,4,4,
09/05/2023 15:19:42,Từ 26 đến 35 tuổi,Nữ,Tự do/Khác,Hằng tháng,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức",3,3,Cần tìm hiểu thêm,3,3,3,3,3,3,3,
09/05/2023 15:35:51,Từ 26 đến 35 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi không còn sử dụng ChatGPT nữa,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,3,Có,4,3,3,4,5,5,5,
09/05/2023 16:08:53,Trên 50 tuổi,Nam,Tự do/Khác,Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Khác",4,3,Có,3,4,3,3,3,5,4,
09/05/2023 23:07:10,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi không còn sử dụng ChatGPT nữa,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập",3,2,Cần tìm hiểu thêm,5,2,1,3,4,5,5,
10/05/2023 12:46:22,Từ 36 đến 49 tuổi,Nam,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",4,3,Cần tìm hiểu thêm,5,3,3,1,5,5,5,Không
10/05/2023 15:55:29,Từ 18 đến 25 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,3,Không,3,3,3,3,4,3,3,khum
10/05/2023 16:02:11,Dưới 18,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",2,2,Có,3,3,2,2,2,3,3,
10/05/2023 16:11:30,Từ 18 đến 25 tuổi,Nam,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",1,Khác,3,2,Không,5,2,2,4,5,5,5,
